uniprot	pdb	region_1	region_2	1_aligned	complex_rmsd	1_comp	2_aligned	2_comp
P46108	2eyz	239-294	132-192	2.824	22.416	35.12	2.748	28.902
P00519	2fo0	67-113,127-217	242-493	4.715	21.622	52.261	14.471	65.412
P12931	2h8h	249-269,151-248	84-145,524-536	5.055	5.614	6.374	4.942	15.521
P08631	2hck	142-239,240-259	76-136,425-514	2.879	4.466	20.358	2.45	43.933
P08631	2hk5	142-239,240-259	76-136,425-514	7.213	6.001	75.113	1.087	16.049
O00571	2i4i	132-181	211-575	1.556	20.87	55.088	19.696	9.296
P07949	2ivs	900-909	724-899,910-1016	3.58	2.89	12.515	2.378	8.361
P07949	2ivt	900-909	724-899,910-1016	4.074	2.728	15.305	1.823	8.157
P07949	2ivu	900-909	724-899,910-1016	3.783	2.49	12.968	1.403	8.388
P07949	2ivv	900-909	724-899,910-1016	3.686	2.7	12.463	1.586	8.771
Q00944	2j0j	35-362	422-680	1.419	2.427	3.365	3.23	2.353
Q00944	2j0k	35-362	422-680	1.557	1.612	2.042	1.126	3.546
P21333	2j3s	2142-2235	2236-2325	5.856	13.506	18.985	2.074	21.258
P49137	2jbo	328-364	64-325	2.483	6.29	6.356	6.446	2.579
P49137	2jbp	328-364	64-325	1.232	3.07	3.102	3.057	1.295
Q8IU85	2jc6	279-319	23-278	5.501	2.539	1.368	1.292	5.482
P31751	2jdo	5-108,410-481	152-409	1.196	1.15	1.145	1.136	1.197
P31751	2jdr	5-108,410-481	152-409	1.332	1.335	1.361	1.311	1.361
P39687	2je0	121-163	1-120	1.027	1.006	1.041	0.999	1.032
P39687	2je1	121-163	1-120	1.089	1.075	1.076	1.07	1.102
P22681	2k4d	353-380	381-435	13.717	16.675	51.173	1.928	30.231
Q8NQJ3	2kb3	1-40	68-117	16.855	26.161	47.044	2.594	51.412
Q8NQJ3	2kb4	1-40	68-117	9.524	10.149	25.437	2.503	23.515
Q04929	2l3s	225-297	133-193	7.58	17.252	33.938	2.83	17.879
Q9P246	2l5y	67-102	136-204	2.879	3.603	4.428	3.243	4.046
P97360	2lf7	426-435	335-416	2.535	2.518	8.073	1.968	4.746
P97360	2lf8	426-435	335-416	1.769	6.517	5.814	1.808	4.343
P46109	2lqn	129-175	14-102	2.715	19.149	17.376	1.89	31.396
P46109	2lqw	129-175	14-102	2.583	21.744	18.156	2.653	32.247
P32527	2lwx	348-364	365-433	1.723	1.431	1.677	1.314	1.841
P97360	2md5	426-435	335-416	0.76	6.509	16.726	2.471	9.43
P62826	2mmc	179-216	10-169	7.531	4.297	1.393	1.297	7.822
P62826	2mmg	179-216	10-169	11.37	15.629	44.902	5.026	36.432
Q8NB16	2msv	133-150	1-124	2.385	3.876	6.848	2.997	3.584
P62826	2n1b	179-216	10-169	3.953	3.587	2.187	1.521	4.954
P14921	2nny	280-330	335-415	8.163	3.835	2.616	1.14	8.793
P49137	2onl	328-364	64-325	1.799	2.899	3.038	2.854	1.889
P49137	2oza	328-364	64-325	1.599	3.123	3.423	3.394	1.629
P49137	2p3g	328-364	64-325	2.617	2.499	2.088	1.944	2.654
Q02750	2p55	75-102	68-74,103-361	0.806	1.326	1.572	1.23	0.957
P49137	2pzy	328-364	64-325	1.453	5.489	5.729	5.555	1.579
P18654	2qr7	697-712	328-679	1.683	6.426	8.576	6.642	6.153
P18654	2qr8	697-712	328-679	2.199	6.471	8.747	6.686	6.275
Q9Y6K1	2qrv	476-626	634-912	0.422	9.389	47.846	8.8	17.215
Q07343	2qyl	166-281	330-649	16.666	27.502	54.923	4.938	56.719
O08967	2r09	251-265,383-395	77-206	1.222	1.753	1.034	0.901	1.322
O08967	2r0d	251-265,383-395	77-206	1.373	1.345	1.021	0.887	1.383
Q86VW2	2rgn	348-472	155-347	1.898	3.425	7.238	2.245	10.16
Q06124	2shp	3-104	247-517	1.355	1.476	1.16	1.043	1.589
P12931	2src	249-269,151-248	84-145,524-536	5.019	5.643	6.182	4.823	15.032
P14921	2stt	280-330	335-415	3.155	4.113	9.898	3.057	9.822
P14921	2stw	280-330	335-415	3.144	4.267	11.472	3.032	10.459
P31751	2uw9	5-108,410-481	152-409	1.283	1.227	1.255	1.201	1.308
Q13555	2v7o	283-292	14-272	0.584	1.596	2.082	1.343	0.754
Q13557	2vn9	283-292	14-272	1.003	2.087	1.173	1.139	1.059
Q16566	2w4o	305-321	46-300	1.737	1.983	2.374	2.273	1.732
Q13557	2wel	283-292	14-272	5.709	26.567	75.634	1.805	50.514
Q8TDX7	2wqm	182-199	34-181,200-299	0.249	1.772	13.227	1.57	5.317
Q8TDX7	2wqn	182-199	34-181,200-299	0.216	1.763	12.689	1.516	5.192
P07949	2x2k	900-909	724-899,910-1016	3.764	2.695	13.473	1.813	8.361
P07949	2x2l	900-909	724-899,910-1016	3.864	2.717	9.939	1.885	8.168
P07949	2x2m	900-909	724-899,910-1016	3.746	2.647	18.462	1.597	8.559
P31751	2x39	5-108,410-481	152-409	1.295	1.148	1.182	1.108	1.329
Q9UM73	2xb7	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.247	1.641	1.374	1.121	1.404
Q9UM73	2xba	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.246	1.782	2.32	1.166	1.473
P31751	2xh5	5-108,410-481	152-409	1.247	1.207	1.195	1.189	1.26
P31016	2xkx	428-498	534-709	4.332	31.207	13.029	4.906	12.746
Q9UM73	2xp2	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.539	2.689	20.249	1.762	5.726
P22681	2y1m	353-380	381-435	9.706	23.829	39.391	2.997	22.374
P22681	2y1n	353-380	381-435	8.787	24.41	41.94	3.433	25.718
P28482	2y9q	173-196	25-172,197-313	4.925	2.488	7.854	1.488	6.901
Q9UM73	2yfx	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.234	2.314	4.771	1.415	2.595
Q9UM73	2yhv	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.242	2.32	5.204	1.378	2.674
Q9UM73	2yjr	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.028	1.734	11.254	1.321	2.66
Q9UM73	2yjs	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.261	1.976	7.19	1.279	1.91
P49137	3a2c	328-364	64-325	1.469	3.529	4.078	3.7	1.763
P45985	3aln	109-136	102-108,137-367	1.607	4.759	2.693	1.577	1.89
P45985	3alo	109-136	102-108,137-367	1.294	5.888	6.469	3.628	1.324
Q9UM73	3aox	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.948	4.638	4.76	1.09	2.202
Q58719	3auz	290-330	1-289	5.328	2.003	1.693	1.327	5.783
Q58719	3av0	290-330	1-289	7.343	6.554	2.593	1.422	8.117
P13864	3av4	649-695	1142-1601	2.977	1.717	1.494	1.117	2.943
P13864	3av5	649-695	1142-1601	3.539	1.795	1.512	1.14	3.608
P13864	3av6	649-695	1142-1601	3.417	1.726	1.668	1.159	3.394
Q13554	3bhh	283-292	14-272	1.002	1.627	2.231	1.657	0.995
Q09472	3biy	1520-1581	1287-1663	0.645	1.196	6.548	1.164	0.767
P62826	3ch5	179-216	10-169	1.048	1.223	1.272	1.226	1.097
Q83RJ4	3cvr	58-260	279-571	1.344	2.555	7.376	1.686	5.75
P31751	3d0e	5-108,410-481	152-409	3.479	1.905	1.374	1.26	3.537
Q02750	3dv3	75-102	68-74,103-361	0.75	1.249	1.469	1.069	0.828
Q02750	3dy7	75-102	68-74,103-361	0.863	1.374	1.496	1.111	0.934
P31751	3e87	5-108,410-481	152-409	3.23	1.776	1.319	1.193	3.265
P31751	3e88	5-108,410-481	152-409	3.151	1.718	1.337	1.176	3.142
P31751	3e8d	5-108,410-481	152-409	2.5	1.514	1.33	1.176	2.56
Q02750	3e8n	75-102	68-74,103-361	0.794	1.278	1.442	1.119	0.906
P62826	3ea5	179-216	10-169	1.691	4.868	38.053	4.927	10.064
P43405	3emg	93-167,245-370	371-631	5.596	1.967	30.008	1.777	5.695
P52564	3enm	251-277	53-314	1.528	5.565	5.778	5.634	1.544
Q02750	3eqb	75-102	68-74,103-361	0.888	1.332	1.573	1.215	1.018
Q02750	3eqc	75-102	68-74,103-361	1.236	1.72	1.882	1.313	1.33
Q02750	3eqd	75-102	68-74,103-361	1.068	1.79	2.208	1.192	1.344
Q02750	3eqf	75-102	68-74,103-361	1.336	1.94	3.045	1.304	1.846
Q02750	3eqg	75-102	68-74,103-361	1.329	1.752	2.25	1.276	1.514
Q02750	3eqh	75-102	68-74,103-361	1.234	1.828	2.405	1.28	1.546
Q02750	3eqi	75-102	68-74,103-361	1.171	1.806	2.251	1.263	1.478
Q16644	3fhr	307-343	44-304	1.24	2.272	1.399	1.276	1.341
P52564	3fme	251-277	53-314	2.043	2.501	3.09	2.599	2.079
P49137	3fpm	328-364	64-325	2.021	5.466	6.017	5.615	2.062
P43405	3fqe	93-167,245-370	371-631	1.189	1.786	2.263	1.788	2.166
P43405	3fqh	93-167,245-370	371-631	0.93	1.713	3.439	1.732	2.804
P43405	3fqs	93-167,245-370	371-631	0.73	1.716	2.626	1.711	1.875
Q16644	3fxw	307-343	44-304	1.233	2.28	1.365	1.265	1.317
P49137	3fyj	328-364	64-325	2.67	2.616	2.3	2.009	2.682
P49137	3fyk	328-364	64-325	2.397	2.429	1.939	1.897	2.407
P11142	3fzf	263-287	225-262	1.308	4.163	1.338	1.338	1.332
P11142	3fzh	263-287	225-262	1.306	4.032	1.183	1.199	1.303
P11142	3fzk	263-287	225-262	1.262	4.051	1.228	1.234	1.242
P11142	3fzl	263-287	225-262	1.303	3.967	1.223	1.232	1.271
P11142	3fzm	263-287	225-262	1.252	3.778	1.214	1.225	1.216
Q07343	3g45	166-281	330-649	2.075	1.376	1.775	0.948	2.498
O08722	3g5b	541-687	688-828,853-942	2.029	1.785	1.67	1.577	2.078
P62826	3gj0	179-216	10-169	0.907	1.488	1.106	0.97	0.945
P62826	3gj3	179-216	10-169	0.882	0.886	0.968	0.875	0.927
P62826	3gj4	179-216	10-169	0.922	0.855	0.871	0.844	0.948
P62826	3gj5	179-216	10-169	0.844	0.848	0.918	0.851	0.863
P62826	3gj6	179-216	10-169	1.075	0.999	1.168	0.977	1.135
P62826	3gj7	179-216	10-169	0.944	0.914	0.942	0.911	0.953
P62826	3gj8	179-216	10-169	1.029	0.912	0.958	0.87	1.051
P62826	3gjx	179-216	10-169	1.725	4.727	46.618	4.801	10.015
P49137	3gok	328-364	64-325	1.458	4.139	4.321	4.296	1.537
P53041	3h60	28-129,487-499	184-486	0.647	0.83	1.876	0.822	0.656
P53041	3h61	28-129,487-499	184-486	0.583	0.809	1.662	0.807	0.638
P53041	3h62	28-129,487-499	184-486	0.426	0.838	2.392	0.839	0.576
P53041	3h63	28-129,487-499	184-486	0.422	0.805	1.38	0.795	0.478
P53041	3h66	28-129,487-499	184-486	0.707	0.869	2.577	0.861	0.76
P53041	3h67	28-129,487-499	184-486	0.449	0.89	1.7	0.878	0.555
P53041	3h68	28-129,487-499	184-486	0.427	0.835	1.949	0.824	0.484
P53041	3h69	28-129,487-499	184-486	0.544	0.814	2.504	0.807	0.607
P28482	3i5z	173-196	25-172,197-313	1.088	1.622	1.696	1.561	1.126
P28482	3i60	173-196	25-172,197-313	1.209	1.69	1.828	1.529	1.329
Q3UP24	3jbl	356-463,578-1020	95-298	3.344	3.238	4.07	2.83	5.27
Q9Z0R4	3jv3	1151-1203	1230-1416	1.131	10.732	17.038	1.296	24.516
A0A0R4I961	3jwn	155-279	3-147	3.023	14.546	27.881	3.44	31.26
P49137	3ka0	328-364	64-325	1.275	2.152	2.221	2.193	1.384
P49137	3kc3	328-364	64-325	1.279	5.22	5.267	5.331	1.294
Q9UGN5	3kcz	231-348	356-538	1.368	1.947	1.319	0.976	1.459
P49137	3kga	328-364	64-325	1.055	3.335	3.68	3.596	1.125
Q9UGN5	3kjd	231-348	356-538	1.342	1.094	1.238	0.936	1.418
Q07889	3ksy	1-198	198-565	2.541	2.945	2.177	1.852	2.86
P15498	3ky9	131-178	194-373	1.871	1.374	1.445	1.384	1.953
Q5EGY4	3kyq	8-131	138-198	1.239	1.374	1.597	1.591	1.263
Q9UM73	3l9p	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.913	2.346	9.016	1.422	3.811
Q9UM73	3lcs	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	3.234	2.398	8.9	2.266	3.941
Q9UM73	3lct	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.886	2.674	8.725	2.005	3.732
P11142	3ldq	263-287	225-262	1.428	4.149	1.3	1.308	1.414
O76074	3lfv	403-539	156-331	2.077	10.45	7.377	2.522	8.227
P49137	3m2w	328-364	64-325	1.023	3.372	3.743	3.671	1.06
P11142	3m3z	263-287	225-262	1.321	3.996	1.259	1.274	1.323
P49137	3m42	328-364	64-325	1.083	3.387	3.734	3.651	1.136
Q02750	3mbl	75-102	68-74,103-361	0.955	1.432	1.703	1.202	1.077
Q9H7B4	3mek	280-428	4-240	0.874	0.887	0.931	0.872	0.901
O76074	3mf0	403-539	156-331	2.103	9.72	7.118	2.516	8.222
P14921	3mfk	280-330	335-415	6.69	4.772	11.606	1.167	10.409
P62826	3nby	179-216	10-169	1.176	4.749	39.492	4.822	9.837
P62826	3nbz	179-216	10-169	0.965	4.76	48.168	4.787	10.655
P62826	3nc0	179-216	10-169	1.321	4.763	48.996	4.777	10.942
P62826	3nc1	179-216	10-169	0.426	4.717	47.989	4.778	9.545
P08631	3nhn	142-239,240-259	76-136,425-514	4.93	8.348	10.738	2.346	20.77
P31749	3o96	5-108	150-408	3.585	5.512	11.189	3.035	10.726
Q02750	3orn	75-102	68-74,103-361	0.856	1.481	1.688	1.202	0.843
Q02750	3os3	75-102	68-74,103-361	1.19	1.696	2.14	1.365	1.263
Q9H7B4	3oxf	280-428	4-240	1.477	1.2	1.064	1.028	1.505
Q9H7B4	3oxg	280-428	4-240	1.651	1.378	1.391	1.129	1.817
Q9H7B4	3oxl	280-428	4-240	1.734	1.511	1.307	1.231	1.846
Q9H7B4	3pdn	280-428	4-240	0.906	0.939	1.046	0.91	1.048
Q3KK31	3pjw	170-390	399-648	1.168	1.318	1.619	1.349	1.372
Q3KK31	3pjx	170-390	399-648	1.242	1.613	3.631	1.367	2.557
Q02750	3pp1	75-102	68-74,103-361	0.952	1.366	1.626	1.18	1.071
P29350	3ps5	1-105	244-515	1.235	1.444	1.412	1.073	1.945
P13864	3pt6	649-695	1142-1601	2.012	7.527	42.22	1.283	33.492
P26358	3pta	647-714	1140-1602	9.073	7.67	23.17	1.818	27.451
Q9H7B4	3qwp	280-428	4-240	0.834	0.883	0.928	0.878	0.911
Q16644	3r1n	307-343	44-304	1.569	2.025	1.312	1.212	1.596
P49137	3r2b	328-364	64-325	2.152	4.971	5.287	5.298	2.22
P49137	3r2y	328-364	64-325	0.828	1.814	1.255	1.174	0.938
P49137	3r30	328-364	64-325	1.171	2.82	2.947	2.673	1.292
Q9H7B4	3ru0	280-428	4-240	1.425	1.128	0.923	0.874	1.448
P28482	3sa0	173-196	25-172,197-313	1.024	2.729	1.453	1.022	1.291
Q16644	3she	307-343	44-304	1.142	2.007	1.314	1.212	1.206
Q02750	3sls	75-102	68-74,103-361	1.147	3.373	3.757	2.261	1.336
P43405	3srv	93-167,245-370	371-631	0.842	1.734	3.734	1.714	2.952
P26358	3swr	647-714	1140-1602	8.172	7.136	22.938	1.244	27.052
Q13490	3t6p	453-543	571-606	1.075	1.959	1.155	0.867	1.402
P28482	3tei	173-196	25-172,197-313	3.687	1.522	2.056	1.073	3.929
P43405	3tub	93-167,245-370	371-631	1.375	2.292	3.859	2.383	5.289
P43405	3tuc	93-167,245-370	371-631	3.079	2.447	5.948	2.364	6.154
P43405	3tud	93-167,245-370	371-631	1.325	2.302	4.355	2.259	4.939
Q02750	3v01	75-102	68-74,103-361	1.029	1.301	1.456	1.246	1.073
Q02750	3v04	75-102	68-74,103-361	0.894	1.283	1.472	1.215	0.966
P43405	3vf8	93-167,245-370	371-631	0.562	1.528	2.467	1.522	1.797
P43405	3vf9	93-167,245-370	371-631	0.817	1.607	3.347	1.593	2.169
P52564	3vn9	251-277	53-314	1.595	3.096	3.034	2.94	1.701
P08631	3vry	142-239,240-259	76-136,425-514	1.139	1.956	2.171	1.043	2.232
P08631	3vrz	142-239,240-259	76-136,425-514	1.024	1.781	2.45	1.026	2.858
P08631	3vs0	142-239,240-259	76-136,425-514	1.223	1.876	2.351	1.111	2.796
P08631	3vs1	142-239,240-259	76-136,425-514	1.296	1.904	2.66	1.05	2.975
P08631	3vs2	142-239,240-259	76-136,425-514	1.385	1.948	2.486	1.046	2.442
P08631	3vs3	142-239,240-259	76-136,425-514	1.152	1.948	1.889	1.045	2.107
P08631	3vs4	142-239,240-259	76-136,425-514	1.375	2.236	2.213	1.036	2.256
P08631	3vs5	142-239,240-259	76-136,425-514	1.184	1.784	1.958	0.996	2.197
P08631	3vs6	142-239,240-259	76-136,425-514	1.288	1.971	2.149	1.016	2.426
P08631	3vs7	142-239,240-259	76-136,425-514	1.293	1.922	2.79	1.109	2.859
Q02750	3vvh	75-102	68-74,103-361	1.008	1.144	1.409	1.099	1.162
P28482	3w55	173-196	25-172,197-313	1.841	1.886	2.93	1.726	2.143
Q02750	3w8q	75-102	68-74,103-361	1.81	6.734	7.416	4.247	2.291
P49137	3wi6	328-364	64-325	2.116	5.187	5.225	5.393	2.094
Q02750	3wig	75-102	68-74,103-361	0.748	1.789	1.857	1.365	0.86
P14921	3wts	280-330	335-415	0.914	1.105	1.802	1.075	1.134
P14921	3wtt	280-330	335-415	0.987	1.093	1.682	1.039	1.172
P14921	3wtu	280-330	335-415	1.17	1.096	1.48	1.051	1.252
P14921	3wtv	280-330	335-415	1.036	1.088	1.413	1.055	1.189
P14921	3wtw	280-330	335-415	1.153	1.127	1.295	1.102	1.23
P14921	3wty	280-330	335-415	0.766	1.083	1.756	1.094	0.917
P14921	3wtz	280-330	335-415	8.0	5.344	14.679	1.496	12.182
P14921	3wu0	280-330	335-415	7.63	5.296	14.954	1.472	11.198
Q8IXJ6	3zgo	320-352	65-319	0.756	4.639	4.37	3.254	1.657
Q8IXJ6	3zgv	320-352	65-319	0.974	2.538	3.031	2.601	1.812
Q02750	3zls	75-102	68-74,103-361	1.576	1.877	2.248	1.389	1.732
Q02750	3zlw	75-102	68-74,103-361	1.208	1.778	2.154	1.306	1.543
Q02750	3zlx	75-102	68-74,103-361	1.272	1.781	2.202	1.31	1.571
Q02750	3zly	75-102	68-74,103-361	1.048	1.572	2.239	1.256	1.387
Q02750	3zm4	75-102	68-74,103-361	1.482	1.647	2.473	1.275	1.818
Q96BN8	3znv	330-340	129-341	1.214	1.317	1.565	1.368	1.295
Q96BN8	3znx	330-340	129-341	1.372	0.883	0.958	0.834	1.338
Q96BN8	3znz	330-340	129-341	1.705	2.072	1.811	1.185	1.738
Q01974	3zzw	555-556	473-746	1.163	1.751	3.124	1.64	1.345
P22681	4a49	353-380	381-435	0.896	1.252	1.645	1.308	1.227
P22681	4a4b	353-380	381-435	2.214	1.152	0.97	0.969	2.198
P22681	4a4c	353-380	381-435	1.916	1.151	1.134	1.088	1.973
Q02750	4an2	75-102	68-74,103-361	1.202	1.965	2.214	1.542	1.526
Q02750	4an3	75-102	68-74,103-361	1.208	1.878	2.043	1.55	1.266
Q02750	4an9	75-102	68-74,103-361	1.166	1.894	2.114	1.428	1.269
Q02750	4anb	75-102	68-74,103-361	0.914	1.947	2.198	1.556	1.172
Q9UM73	4anl	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.218	2.057	5.539	1.333	2.645
Q9UM73	4anq	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.196	2.301	4.785	1.357	2.585
Q9UM73	4ans	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.211	2.317	4.816	1.372	2.623
Q02750	4ark	75-102	68-74,103-361	0.915	1.679	2.07	1.188	1.038
Q09472	4bhw	1520-1581	1287-1663	0.623	1.769	25.148	0.948	1.98
P15036	4bqa	325-359	363-443	5.71	4.253	7.303	1.167	9.063
Q8RT31	4c7p	201-354	1-190	1.706	1.391	1.143	1.114	1.74
Q9UM73	4ccb	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.592	2.657	22.427	1.653	5.735
Q9UM73	4ccu	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.237	2.288	4.929	1.231	2.621
Q9UM73	4cd0	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.933	2.052	5.251	1.422	2.57
P54646	4cfe	291-376	16-268	5.221	2.112	1.344	1.206	5.069
P54646	4cff	291-376	16-268	4.32	1.87	1.351	1.184	4.174
P07949	4cki	900-909	724-899,910-1016	3.956	3.077	13.112	2.232	8.938
P07949	4ckj	900-909	724-899,910-1016	3.832	2.811	15.597	2.013	8.084
Q9UM73	4cli	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.312	2.295	5.054	1.395	2.687
Q9UM73	4clj	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.915	2.089	5.514	1.461	2.633
Q9UM73	4cmo	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.248	2.327	5.122	1.389	2.681
Q9UM73	4cmt	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.688	2.673	22.215	1.587	5.699
Q9UM73	4cmu	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.269	2.308	5.0	1.402	2.681
Q9UM73	4cnh	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.629	2.465	21.363	1.713	5.078
P35520	4coo	414-551	40-413	1.045	0.941	1.965	0.823	1.364
Q9UM73	4ctb	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.284	2.324	5.023	1.294	2.711
Q9UM73	4ctc	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.196	2.037	12.084	1.527	3.031
P35609	4d1e	259-307	753-824	3.589	113.954	228.211	4.281	221.351
Q8RT31	4d7q	201-354	1-190	5.898	2.773	5.474	1.504	6.415
Q8RT31	4d7r	201-354	1-190	1.458	1.996	3.295	3.317	2.589
Q9UM73	4dce	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.227	2.227	14.188	1.231	2.327
P43405	4dfl	93-167,245-370	371-631	0.922	1.655	2.883	1.649	2.026
