uniprot	pdb	region_1	region_2	1_aligned	complex_rmsd	1_comp	2_aligned	2_comp
H2E7Q8	5n4d	1-80,452-730	81-451	1.304	1.524	1.822	1.373	1.937
H2E7Q8	5n4e	1-80,452-730	81-451	1.206	1.331	1.585	1.194	1.711
H2E7Q8	5n4f	1-80,452-730	81-451	1.339	6.21	15.23	1.359	16.471
H6SG27	5n9w	24-376	438-515	1.146	10.593	24.887	1.055	62.103
H6SG27	5n9x	24-376	438-515	1.469	10.405	24.858	1.011	60.739
P59676	5oiz	632-691	692-750	1.692	1.711	1.73	1.684	1.762
P59676	5oj1	632-691	692-750	1.762	1.595	1.429	1.374	1.816
A0A0H2WY27	5tw4	56-288	317-382	1.229	1.243	1.021	0.899	1.518
A0A0H2WY27	5tw8	56-288	317-382	0.773	0.84	1.069	1.025	0.867
A0A0H2WY27	5tx9	56-288	317-382	1.194	1.238	1.14	1.069	1.399
A0A0H2WY27	5ty2	56-288	317-382	1.168	1.199	0.958	0.936	1.373
A0A0H2WY27	5ty7	56-288	317-382	0.779	0.929	0.868	0.847	0.932
A0A0A0V031	5upq	11-372	422-496	1.083	3.108	7.45	2.695	8.145
A0A0A0V031	5ups	11-372	422-496	1.048	1.351	2.498	1.839	2.556
A0A0A0V031	5upt	11-372	422-496	1.211	2.377	6.891	1.314	6.544
A0A140DJY3	5wm2	32-394	445-522	1.138	12.316	29.901	1.229	57.639
A0A140DJY3	5wm3	32-394	445-522	1.128	12.335	29.922	1.228	57.65
A0A140DJY3	5wm4	32-394	445-522	1.11	12.147	29.73	1.143	57.591
A0A140DJY3	5wm5	32-394	445-522	1.121	12.158	29.754	1.148	57.658
A0A140DJY3	5wm6	32-394	445-522	1.119	12.327	29.842	1.264	57.541
A0A140DJY3	5wm7	32-394	445-522	1.127	12.309	29.878	1.254	57.654
A0A3B6UEQ0	5xvb	22-167	187-264	0.876	0.826	0.805	0.77	0.9
A0A3B6UEQ0	5xvc	22-167	187-264	0.901	0.836	0.793	0.75	0.932
Q2TU34	5zwk	13-198	203-332	1.395	1.249	1.062	1.032	1.367
A0A0H2WY27	6c39	56-288	317-382	0.737	1.003	1.269	1.241	0.892
A0A0H2WY27	6c3k	56-288	317-382	0.77	0.939	1.133	1.122	0.868
P0AG30	6duq	1-47	48-123	1.02	1.193	1.947	1.225	1.378
A0A0H2WY27	6dz8	56-288	317-382	0.858	0.952	1.282	1.179	1.361
Q47NR5	6e8o	33-399	450-525	1.047	1.505	2.874	2.232	3.059
Q47NR5	6e97	33-399	450-525	1.04	1.544	3.018	2.328	3.083
A0A0F7R6G7	6m01	27-384	443-519	1.591	1.693	2.374	1.228	5.316
D9N168	6p5c	3-169	336-543	0.874	1.16	1.405	1.162	0.954
Q72AS4	6rtp	52-205	237-315	0.868	0.888	0.947	0.912	1.015
Q72AS4	6ru9	52-205	237-315	0.971	0.939	0.895	0.849	1.159
Q72AS4	6ruc	52-205	237-315	0.86	0.882	0.965	0.92	1.077
Q9I5E6	6s62	18-267	300-476	0.87	2.418	5.789	1.876	6.113
D9N168	6ueu	3-169	336-543	0.824	1.728	2.481	2.357	1.25
D9N168	6ur2	3-169	336-543	0.943	1.211	1.453	1.277	1.014
D9N168	6ur4	3-169	336-543	0.945	1.225	1.432	1.278	0.993
D9N168	6ur9	3-169	336-543	0.866	1.78	2.577	2.559	0.949
D9N168	6us5	3-169	336-543	0.957	1.83	2.672	2.555	1.167
P0AG30	6wa8	1-47	48-123	4.676	3.58	6.203	1.945	5.317
P0AG30	6xas	1-47	48-123	1.478	1.755	3.33	1.475	2.709
P0AG30	6xav	1-47	48-123	1.49	1.743	3.211	1.435	2.75
Q72AS4	6z7r	52-205	237-315	0.962	0.921	0.909	0.877	1.13
Q72AS4	6z8j	52-205	237-315	0.884	0.889	0.879	0.854	1.045
Q72AS4	6z8m	52-205	237-315	0.95	0.931	0.933	0.879	1.133
Q72AS4	6z8o	52-205	237-315	0.972	0.952	0.938	0.891	1.144
Q72AS4	6z9g	52-205	237-315	0.922	0.908	0.925	0.856	1.063
Q72AS4	6z9o	52-205	237-315	0.937	0.912	0.915	0.875	1.144
P0AG30	6z9p	1-47	48-123	1.852	2.297	3.818	1.673	4.984
P0AG30	6z9q	1-47	48-123	1.924	2.178	3.588	1.507	4.472
P0AG30	6z9r	1-47	48-123	1.691	2.306	4.149	1.404	5.295
P0AG30	6z9s	1-47	48-123	1.584	2.311	4.375	1.28	5.734
P0AG30	6z9t	1-47	48-123	1.785	2.302	4.644	1.534	4.878
Q72AS4	6za1	52-205	237-315	0.936	0.911	0.911	0.868	1.143
M4GWN4	7a9i	7-368	418-493	1.666	3.762	9.321	1.443	11.669
M4GWN4	7a9j	7-368	418-493	1.708	3.909	9.588	1.468	11.445
P0AG30	7adb	1-47	48-123	1.778	2.283	4.092	1.586	5.305
P0AG30	7adc	1-47	48-123	1.868	2.37	4.526	1.553	5.003
P0AG30	7add	1-47	48-123	1.662	2.29	4.115	1.342	5.524
P0AG30	7ade	1-47	48-123	1.699	2.3	4.623	1.528	5.083
P04958	7by5	1-250	251-451	1.19	1.106	0.992	0.971	1.203
A0A0F7R6G7	7dq5	27-384	443-519	1.512	10.805	28.533	1.968	60.22
A0A0F7R6G7	7dq6	27-384	443-519	1.497	8.24	26.583	1.796	59.696
A0A0H2WY27	7kcv	56-288	317-382	0.722	0.98	1.126	0.914	1.454
A0A0H2WY27	7kcw	56-288	317-382	0.759	1.041	1.172	0.986	1.33
A0A0H2WY27	7kcx	56-288	317-382	0.77	1.047	1.247	1.11	1.362
A0A0H2WY27	7kcy	56-288	317-382	0.799	1.03	1.154	0.935	1.525
P04958	7oh1	1-250	251-451	1.158	1.093	1.019	0.977	1.201
A0A3B6UEQ0	7vxq	22-167	187-264	0.877	0.827	0.802	0.779	0.908
P0AG30	7x2r	1-47	48-123	2.026	1.86	1.783	1.734	2.065
P0AG30	8e3h	1-47	48-123	1.486	1.594	2.92	1.225	2.7
P0AG30	8e5l	1-47	48-123	1.486	1.594	2.92	1.225	2.7
P0AG30	8e5p	1-47	48-123	1.486	1.594	2.92	1.225	2.7
P0AG30	8e6w	1-47	48-123	1.486	1.594	2.92	1.225	2.7
P0AG30	8e70	1-47	48-123	1.486	1.594	2.92	1.225	2.7
P0AG30	8peu	1-47	48-123	1.997	2.596	4.584	1.878	5.594
P0AG30	8pew	1-47	48-123	1.912	2.483	3.917	1.976	5.154
P0AG30	8pex	1-47	48-123	1.833	2.547	4.36	1.867	5.757
P0AG30	8ptg	1-47	48-123	2.166	1.848	1.698	1.583	2.271
P0AG30	8ptm	1-47	48-123	2.539	1.937	1.8	1.414	2.663
P0AG30	8ptn	1-47	48-123	2.577	2.033	1.638	1.578	2.703
P0AG30	8pto	1-47	48-123	2.371	1.916	1.63	1.563	2.418
P0AG30	8ptp	1-47	48-123	2.445	1.898	1.747	1.471	2.534
P0AG30	8q3n	1-47	48-123	2.034	1.738	1.582	1.515	2.073
P0AG30	8q3o	1-47	48-123	2.85	2.239	1.882	1.767	2.89
P0AG30	8q3p	1-47	48-123	1.5	2.095	3.707	1.462	4.496
P0AG30	8q3q	1-47	48-123	1.514	2.144	3.837	1.498	4.861
D9N168	8scg	3-169	336-543	0.879	1.704	2.437	2.344	0.975
D9N168	8sci	3-169	336-543	0.932	1.768	2.617	2.413	1.328
D9N168	8scj	3-169	336-543	0.86	1.802	2.691	2.446	1.489
D9N168	8sck	3-169	336-543	0.956	1.806	2.637	2.477	1.204
D9N168	8scl	3-169	336-543	0.941	1.827	2.629	2.506	1.1
D9N168	8scm	3-169	336-543	0.941	1.833	2.669	2.528	1.195
D9N168	8scn	3-169	336-543	0.931	1.836	2.691	2.583	1.016
D9N168	8sco	3-169	336-543	0.94	1.891	2.769	2.667	1.01
D9N168	8scp	3-169	336-543	0.883	1.847	2.706	2.607	0.996
D9N168	8scq	3-169	336-543	0.911	1.873	2.805	2.596	1.194
D9N168	8scr	3-169	336-543	0.897	1.889	2.789	2.692	1.021
D9N168	8scs	3-169	336-543	0.887	1.86	2.771	2.636	1.085
D9N168	8sct	3-169	336-543	0.971	1.892	2.778	2.668	1.095
D9N168	8scu	3-169	336-543	0.838	1.891	2.773	2.716	0.928
P0AG30	8w8d	1-47	48-123	2.481	2.018	2.112	1.565	2.643
A0A0F7R6G7	8yyq	27-384	443-519	1.477	10.898	30.111	1.728	59.31
A0A0F7R6G7	8yyr	27-384	443-519	1.491	11.341	28.931	1.595	59.301
P0AG30	9gcs	1-47	48-123	1.727	2.329	3.828	1.704	5.101
P0AG30	9gct	1-47	48-123	1.989	2.535	3.846	2.043	4.893
P0AG30	9gcu	1-47	48-123	2.614	2.051	2.164	1.591	2.823
