uniprot	pdb	complex_rmsd	1.0_aligned	1.0_comp	1.1_aligned	1.1_comp	1.2_aligned	1.2_comp	2.0_aligned	2.0_comp	2.1_aligned	2.1_comp	2.2_aligned	2.2_comp	2.3_aligned	2.3_comp	region_1	region_2	state	conformation	gt_fn	bioemu_filename	1_aligned	1_comp	2_aligned	2_comp
P35520	4pcu	17.126	3.233	42.365	0.0	0.0	0.0	0.0	2.901	36.282	0.0	0.0	0.0	0.0	0	0	414-551	40-413	Active	Base	4pcu.cif	P35520_bioemu_cluster_0.pdb	3.233	42.365	2.901	36.282
P35520	4l28	8.957	2.494	24.83	0.0	0.0	0.0	0.0	2.264	27.019	0.0	0.0	0.0	0.0	0	0	414-551	40-413	Autoinhibited	Alternate	4l28.cif	P35520_bioemu_cluster_0.pdb	2.494	24.83	2.264	27.019
P53042	4ja9	1.475	1.212	4.366	0.0	0.0	0.0	0.0	0.0	0.0	0.701	12.173	0.598	3.084	0	0	28-129	495-499,200-494	Active	Base	4ja9.cif	P53042_bioemu_cluster_0.pdb	1.212	4.366	0.649	7.628
P53042	4ja7	1.763	0.93	5.8	0.0	0.0	0.0	0.0	0.0	0.0	1.474	23.356	0.586	3.468	0	0	28-129	495-499,200-494	Autoinhibited	Alternate	4ja7.cif	P53042_bioemu_cluster_0.pdb	0.93	5.8	1.03	13.412
P60240	7m8e	6.38	1.129	26.638	0.0	0.0	0.0	0.0	0.0	0.0	3.904	12.227	1.332	16.61	0	0	1-110	147-416,441-659	Active	Base	7m8e.cif	P60240_bioemu_cluster_0.pdb	1.129	26.638	2.618	14.418
P60240	4s20	14.336	2.253	62.861	0.0	0.0	0.0	0.0	0.0	0.0	4.071	34.063	2.059	36.03	0	0	1-110	147-416,441-659	Autoinhibited	Alternate	4s20.cif	P60240_bioemu_cluster_0.pdb	2.253	62.861	3.065	35.047
P62826	1rrp	11.976	6.466	33.32	0.0	0.0	0.0	0.0	3.641	28.337	0.0	0.0	0.0	0.0	0	0	179-216	10-169	Active	Base	1rrp.cif	P62826_bioemu_cluster_1.pdb	6.466	33.32	3.641	28.337
P62826	3gj7	2.533	1.667	5.393	0.0	0.0	0.0	0.0	2.192	4.181	0.0	0.0	0.0	0.0	0	0	179-216	10-169	Autoinhibited	Alternate	3gj7.cif	P62826_bioemu_cluster_7.pdb	1.667	5.393	2.192	4.181
Q8NQJ3	2kb3	8.103	8.901	9.984	0.0	0.0	0.0	0.0	4.125	14.74	0.0	0.0	0.0	0.0	0	0	1-40	68-117	Autoinhibited	Base	2kb3.cif	Q8NQJ3_bioemu_cluster_21.pdb	8.901	9.984	4.125	14.74
Q8NQJ3	2kb4	16.636	13.423	48.34	0.0	0.0	0.0	0.0	1.969	43.64	0.0	0.0	0.0	0.0	0	0	1-40	68-117	Active	Alternate	2kb4.cif	Q8NQJ3_bioemu_cluster_22.pdb	13.423	48.34	1.969	43.64
Q9Y6K1	4u7t	1.102	0.913	3.347	0.0	0.0	0.0	0.0	0.919	1.556	0.0	0.0	0.0	0.0	0	0	476-626	634-912	Active	Base	4u7t.cif	Q9Y6K1_bioemu_cluster_0.pdb	0.913	3.347	0.919	1.556
Q9Y6K1	4u7p	8.041	8.185	25.757	0.0	0.0	0.0	0.0	0.895	15.198	0.0	0.0	0.0	0.0	0	0	476-626	634-912	Autoinhibited	Alternate	4u7p.cif	Q9Y6K1_bioemu_cluster_1.pdb	8.185	25.757	0.895	15.198
