gene_name	uniprot	protein_length	region_1	region_2	pdb	chain	af_filename	gt_fn	date
Nos1	P29476	1429.0	815-870	757-949	1rs6	A	F-P29476-F1-model_v3.cif	1rs6.cif	2003-12-09
Nos1	P29476	1429.0	815-870	757-949	1rs7	A	F-P29476-F1-model_v3.cif	1rs7.cif	2003-12-09
Nos1	P29476	1429.0	815-870	757-949	1tll	A	F-P29476-F1-model_v3.cif	1tll.cif	2004-06-09
Nos1	P29476	1429.0	815-870	757-949	1vag	A	F-P29476-F1-model_v3.cif	1vag.cif	2004-02-16
Nos1	P29476	1429.0	815-870	757-949	1zvi	A	F-P29476-F1-model_v3.cif	1zvi.cif	2005-06-02
Nos1	P29476	1429.0	815-870	757-949	1zvl	A	F-P29476-F1-model_v3.cif	1zvl.cif	2005-06-02
Nos1	P29476	1429.0	815-870	757-949	1zzq	A	F-P29476-F1-model_v3.cif	1zzq.cif	2005-06-14
Nos1	P29476	1429.0	815-870	757-949	1zzr	A	F-P29476-F1-model_v3.cif	1zzr.cif	2005-06-14
Nos1	P29476	1429.0	815-870	757-949	1zzu	A	F-P29476-F1-model_v3.cif	1zzu.cif	2005-06-14
Nos1	P29476	1429.0	815-870	757-949	2g6h	A	F-P29476-F1-model_v3.cif	2g6h.cif	2006-02-24
Nos1	P29476	1429.0	815-870	757-949	2g6i	A	F-P29476-F1-model_v3.cif	2g6i.cif	2006-02-24
Nos1	P29476	1429.0	815-870	757-949	2g6j	A	F-P29476-F1-model_v3.cif	2g6j.cif	2006-02-24
Nos1	P29476	1429.0	815-870	757-949	2g6k	A	F-P29476-F1-model_v3.cif	2g6k.cif	2006-02-24
Nos1	P29476	1429.0	815-870	757-949	2g6l	A	F-P29476-F1-model_v3.cif	2g6l.cif	2006-02-24
Nos1	P29476	1429.0	815-870	757-949	2g6m	A	F-P29476-F1-model_v3.cif	2g6m.cif	2006-02-24
Nos1	P29476	1429.0	815-870	757-949	2g6n	A	F-P29476-F1-model_v3.cif	2g6n.cif	2006-02-24
Nos1	P29476	1429.0	815-870	757-949	2hx3	A	F-P29476-F1-model_v3.cif	2hx3.cif	2006-08-02
Nos1	P29476	1429.0	815-870	757-949	2hx4	A	F-P29476-F1-model_v3.cif	2hx4.cif	2006-08-02
Nos1	P29476	1429.0	815-870	757-949	3b3m	A	F-P29476-F1-model_v3.cif	3b3m.cif	2007-10-22
Nos1	P29476	1429.0	815-870	757-949	3b3n	A	F-P29476-F1-model_v3.cif	3b3n.cif	2007-10-22
Nos1	P29476	1429.0	815-870	757-949	3b3o	A	F-P29476-F1-model_v3.cif	3b3o.cif	2007-10-22
Nos1	P29476	1429.0	815-870	757-949	3b3p	A	F-P29476-F1-model_v3.cif	3b3p.cif	2007-10-22
Nos1	P29476	1429.0	815-870	757-949	3dqr	A	F-P29476-F1-model_v3.cif	3dqr.cif	2008-07-09
Nos1	P29476	1429.0	815-870	757-949	3fc5	A	F-P29476-F1-model_v3.cif	3fc5.cif	2008-11-21
Nos1	P29476	1429.0	815-870	757-949	3hsn	A	F-P29476-F1-model_v3.cif	3hsn.cif	2009-06-10
Nos1	P29476	1429.0	815-870	757-949	3hso	A	F-P29476-F1-model_v3.cif	3hso.cif	2009-06-10
Nos1	P29476	1429.0	815-870	757-949	3hsp	A	F-P29476-F1-model_v3.cif	3hsp.cif	2009-06-10
Nos1	P29476	1429.0	815-870	757-949	3jt3	A	F-P29476-F1-model_v3.cif	3jt3.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jt4	A	F-P29476-F1-model_v3.cif	3jt4.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jt5	A	F-P29476-F1-model_v3.cif	3jt5.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jt6	A	F-P29476-F1-model_v3.cif	3jt6.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jt7	A	F-P29476-F1-model_v3.cif	3jt7.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jt8	A	F-P29476-F1-model_v3.cif	3jt8.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jt9	A	F-P29476-F1-model_v3.cif	3jt9.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jta	A	F-P29476-F1-model_v3.cif	3jta.cif	2009-09-11
Nos1	P29476	1429.0	815-870	757-949	3jws	A	F-P29476-F1-model_v3.cif	3jws.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jwt	A	F-P29476-F1-model_v3.cif	3jwt.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jwu	A	F-P29476-F1-model_v3.cif	3jwu.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jwv	A	F-P29476-F1-model_v3.cif	3jwv.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jx0	A	F-P29476-F1-model_v3.cif	3jx0.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jx1	A	F-P29476-F1-model_v3.cif	3jx1.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jx2	A	F-P29476-F1-model_v3.cif	3jx2.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jx3	A	F-P29476-F1-model_v3.cif	3jx3.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jx4	A	F-P29476-F1-model_v3.cif	3jx4.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jx5	A	F-P29476-F1-model_v3.cif	3jx5.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3jx6	A	F-P29476-F1-model_v3.cif	3jx6.cif	2009-09-18
Nos1	P29476	1429.0	815-870	757-949	3n2r	A	F-P29476-F1-model_v3.cif	3n2r.cif	2010-05-18
Nos1	P29476	1429.0	815-870	757-949	3n5v	A	F-P29476-F1-model_v3.cif	3n5v.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n5w	A	F-P29476-F1-model_v3.cif	3n5w.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n5x	A	F-P29476-F1-model_v3.cif	3n5x.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n5y	A	F-P29476-F1-model_v3.cif	3n5y.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n5z	A	F-P29476-F1-model_v3.cif	3n5z.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n60	A	F-P29476-F1-model_v3.cif	3n60.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n61	A	F-P29476-F1-model_v3.cif	3n61.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n62	A	F-P29476-F1-model_v3.cif	3n62.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n63	A	F-P29476-F1-model_v3.cif	3n63.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n64	A	F-P29476-F1-model_v3.cif	3n64.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n65	A	F-P29476-F1-model_v3.cif	3n65.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n66	A	F-P29476-F1-model_v3.cif	3n66.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n67	A	F-P29476-F1-model_v3.cif	3n67.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n68	A	F-P29476-F1-model_v3.cif	3n68.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n69	A	F-P29476-F1-model_v3.cif	3n69.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n6a	A	F-P29476-F1-model_v3.cif	3n6a.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n6b	A	F-P29476-F1-model_v3.cif	3n6b.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n6c	A	F-P29476-F1-model_v3.cif	3n6c.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n6d	A	F-P29476-F1-model_v3.cif	3n6d.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n6e	A	F-P29476-F1-model_v3.cif	3n6e.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n6f	A	F-P29476-F1-model_v3.cif	3n6f.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3n6g	A	F-P29476-F1-model_v3.cif	3n6g.cif	2010-05-25
Nos1	P29476	1429.0	815-870	757-949	3nlj	A	F-P29476-F1-model_v3.cif	3nlj.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlk	A	F-P29476-F1-model_v3.cif	3nlk.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlm	A	F-P29476-F1-model_v3.cif	3nlm.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nln	A	F-P29476-F1-model_v3.cif	3nln.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlo	A	F-P29476-F1-model_v3.cif	3nlo.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlp	A	F-P29476-F1-model_v3.cif	3nlp.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlq	A	F-P29476-F1-model_v3.cif	3nlq.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlr	A	F-P29476-F1-model_v3.cif	3nlr.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlv	A	F-P29476-F1-model_v3.cif	3nlv.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlw	A	F-P29476-F1-model_v3.cif	3nlw.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlx	A	F-P29476-F1-model_v3.cif	3nlx.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nly	A	F-P29476-F1-model_v3.cif	3nly.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nlz	A	F-P29476-F1-model_v3.cif	3nlz.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nm0	A	F-P29476-F1-model_v3.cif	3nm0.cif	2010-06-21
Nos1	P29476	1429.0	815-870	757-949	3nny	A	F-P29476-F1-model_v3.cif	3nny.cif	2010-06-24
Nos1	P29476	1429.0	815-870	757-949	3nnz	A	F-P29476-F1-model_v3.cif	3nnz.cif	2010-06-24
Nos1	P29476	1429.0	815-870	757-949	3pne	A	F-P29476-F1-model_v3.cif	3pne.cif	2010-11-18
Nos1	P29476	1429.0	815-870	757-949	3pnf	A	F-P29476-F1-model_v3.cif	3pnf.cif	2010-11-18
Nos1	P29476	1429.0	815-870	757-949	3png	A	F-P29476-F1-model_v3.cif	3png.cif	2010-11-18
Nos1	P29476	1429.0	815-870	757-949	3q99	A	F-P29476-F1-model_v3.cif	3q99.cif	2011-01-07
Nos1	P29476	1429.0	815-870	757-949	3q9a	A	F-P29476-F1-model_v3.cif	3q9a.cif	2011-01-07
Nos1	P29476	1429.0	815-870	757-949	3rqj	A	F-P29476-F1-model_v3.cif	3rqj.cif	2011-04-28
Nos1	P29476	1429.0	815-870	757-949	3rqk	A	F-P29476-F1-model_v3.cif	3rqk.cif	2011-04-28
Nos1	P29476	1429.0	815-870	757-949	3rql	A	F-P29476-F1-model_v3.cif	3rql.cif	2011-04-28
Nos1	P29476	1429.0	815-870	757-949	3rqm	A	F-P29476-F1-model_v3.cif	3rqm.cif	2011-04-28
Nos1	P29476	1429.0	815-870	757-949	3rqn	A	F-P29476-F1-model_v3.cif	3rqn.cif	2011-04-28
Nos1	P29476	1429.0	815-870	757-949	3svp	A	F-P29476-F1-model_v3.cif	3svp.cif	2011-07-12
Nos1	P29476	1429.0	815-870	757-949	3svq	A	F-P29476-F1-model_v3.cif	3svq.cif	2011-07-12
Nos1	P29476	1429.0	815-870	757-949	3tyl	A	F-P29476-F1-model_v3.cif	3tyl.cif	2011-09-26
Nos1	P29476	1429.0	815-870	757-949	3tym	A	F-P29476-F1-model_v3.cif	3tym.cif	2011-09-26
Nos1	P29476	1429.0	815-870	757-949	3tyn	A	F-P29476-F1-model_v3.cif	3tyn.cif	2011-09-26
Nos1	P29476	1429.0	815-870	757-949	3tyo	A	F-P29476-F1-model_v3.cif	3tyo.cif	2011-09-26
Nos1	P29476	1429.0	815-870	757-949	3ufo	A	F-P29476-F1-model_v3.cif	3ufo.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3ufp	A	F-P29476-F1-model_v3.cif	3ufp.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3ufq	A	F-P29476-F1-model_v3.cif	3ufq.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3ufr	A	F-P29476-F1-model_v3.cif	3ufr.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3ufs	A	F-P29476-F1-model_v3.cif	3ufs.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3uft	A	F-P29476-F1-model_v3.cif	3uft.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3ufu	A	F-P29476-F1-model_v3.cif	3ufu.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3ufv	A	F-P29476-F1-model_v3.cif	3ufv.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	3ufw	A	F-P29476-F1-model_v3.cif	3ufw.cif	2011-11-01
Nos1	P29476	1429.0	815-870	757-949	4c39	A	F-P29476-F1-model_v3.cif	4c39.cif	2013-08-22
Nos1	P29476	1429.0	815-870	757-949	4cam	A	F-P29476-F1-model_v3.cif	4cam.cif	2013-10-08
Nos1	P29476	1429.0	815-870	757-949	4can	A	F-P29476-F1-model_v3.cif	4can.cif	2013-10-08
Nos1	P29476	1429.0	815-870	757-949	4cao	A	F-P29476-F1-model_v3.cif	4cao.cif	2013-10-08
Nos1	P29476	1429.0	815-870	757-949	4cap	A	F-P29476-F1-model_v3.cif	4cap.cif	2013-10-08
Nos1	P29476	1429.0	815-870	757-949	4caq	A	F-P29476-F1-model_v3.cif	4caq.cif	2013-10-08
Nos1	P29476	1429.0	815-870	757-949	4cdt	A	F-P29476-F1-model_v3.cif	4cdt.cif	2013-11-05
Nos1	P29476	1429.0	815-870	757-949	4ctp	A	F-P29476-F1-model_v3.cif	4ctp.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4ctq	A	F-P29476-F1-model_v3.cif	4ctq.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4ctr	A	F-P29476-F1-model_v3.cif	4ctr.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4ctt	A	F-P29476-F1-model_v3.cif	4ctt.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4ctu	A	F-P29476-F1-model_v3.cif	4ctu.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4ctv	A	F-P29476-F1-model_v3.cif	4ctv.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4ctw	A	F-P29476-F1-model_v3.cif	4ctw.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4ctx	A	F-P29476-F1-model_v3.cif	4ctx.cif	2014-03-15
Nos1	P29476	1429.0	815-870	757-949	4cx3	A	F-P29476-F1-model_v3.cif	4cx3.cif	2014-04-03
Nos1	P29476	1429.0	815-870	757-949	4cx4	A	F-P29476-F1-model_v3.cif	4cx4.cif	2014-04-03
Nos1	P29476	1429.0	815-870	757-949	4cx5	A	F-P29476-F1-model_v3.cif	4cx5.cif	2014-04-03
Nos1	P29476	1429.0	815-870	757-949	4cx6	A	F-P29476-F1-model_v3.cif	4cx6.cif	2014-04-03
Nos1	P29476	1429.0	815-870	757-949	4d2y	A	F-P29476-F1-model_v3.cif	4d2y.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4d2z	A	F-P29476-F1-model_v3.cif	4d2z.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4d30	A	F-P29476-F1-model_v3.cif	4d30.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4d31	A	F-P29476-F1-model_v3.cif	4d31.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4d32	A	F-P29476-F1-model_v3.cif	4d32.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4d3b	A	F-P29476-F1-model_v3.cif	4d3b.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4d7o	A	F-P29476-F1-model_v3.cif	4d7o.cif	2014-11-25
Nos1	P29476	1429.0	815-870	757-949	4eux	A	F-P29476-F1-model_v3.cif	4eux.cif	2012-04-25
Nos1	P29476	1429.0	815-870	757-949	4fvw	A	F-P29476-F1-model_v3.cif	4fvw.cif	2012-06-29
Nos1	P29476	1429.0	815-870	757-949	4fvx	A	F-P29476-F1-model_v3.cif	4fvx.cif	2012-06-29
Nos1	P29476	1429.0	815-870	757-949	4fvy	A	F-P29476-F1-model_v3.cif	4fvy.cif	2012-06-29
Nos1	P29476	1429.0	815-870	757-949	4fvz	A	F-P29476-F1-model_v3.cif	4fvz.cif	2012-06-29
Nos1	P29476	1429.0	815-870	757-949	4fw0	A	F-P29476-F1-model_v3.cif	4fw0.cif	2012-06-29
Nos1	P29476	1429.0	815-870	757-949	4gqe	A	F-P29476-F1-model_v3.cif	4gqe.cif	2012-08-22
Nos1	P29476	1429.0	815-870	757-949	4hop	B	F-P29476-F1-model_v3.cif	4hop.cif	2012-10-22
Nos1	P29476	1429.0	815-870	757-949	4ims	A	F-P29476-F1-model_v3.cif	4ims.cif	2013-01-03
Nos1	P29476	1429.0	815-870	757-949	4imt	A	F-P29476-F1-model_v3.cif	4imt.cif	2013-01-03
Nos1	P29476	1429.0	815-870	757-949	4imu	A	F-P29476-F1-model_v3.cif	4imu.cif	2013-01-03
Nos1	P29476	1429.0	815-870	757-949	4imw	A	F-P29476-F1-model_v3.cif	4imw.cif	2013-01-03
Nos1	P29476	1429.0	815-870	757-949	4jse	A	F-P29476-F1-model_v3.cif	4jse.cif	2013-03-22
Nos1	P29476	1429.0	815-870	757-949	4jsf	A	F-P29476-F1-model_v3.cif	4jsf.cif	2013-03-22
Nos1	P29476	1429.0	815-870	757-949	4jsg	A	F-P29476-F1-model_v3.cif	4jsg.cif	2013-03-22
Nos1	P29476	1429.0	815-870	757-949	4jsh	A	F-P29476-F1-model_v3.cif	4jsh.cif	2013-03-22
Nos1	P29476	1429.0	815-870	757-949	4jsi	A	F-P29476-F1-model_v3.cif	4jsi.cif	2013-03-22
Nos1	P29476	1429.0	815-870	757-949	4jsj	A	F-P29476-F1-model_v3.cif	4jsj.cif	2013-03-22
Nos1	P29476	1429.0	815-870	757-949	4k5d	A	F-P29476-F1-model_v3.cif	4k5d.cif	2013-04-14
Nos1	P29476	1429.0	815-870	757-949	4k5e	A	F-P29476-F1-model_v3.cif	4k5e.cif	2013-04-14
Nos1	P29476	1429.0	815-870	757-949	4k5f	A	F-P29476-F1-model_v3.cif	4k5f.cif	2013-04-14
Nos1	P29476	1429.0	815-870	757-949	4k5g	A	F-P29476-F1-model_v3.cif	4k5g.cif	2013-04-14
Nos1	P29476	1429.0	815-870	757-949	4kch	A	F-P29476-F1-model_v3.cif	4kch.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4kci	A	F-P29476-F1-model_v3.cif	4kci.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4kcj	A	F-P29476-F1-model_v3.cif	4kcj.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4kck	A	F-P29476-F1-model_v3.cif	4kck.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4kcl	A	F-P29476-F1-model_v3.cif	4kcl.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4kcm	A	F-P29476-F1-model_v3.cif	4kcm.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4kcn	A	F-P29476-F1-model_v3.cif	4kcn.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4kco	A	F-P29476-F1-model_v3.cif	4kco.cif	2013-04-24
Nos1	P29476	1429.0	815-870	757-949	4lux	A	F-P29476-F1-model_v3.cif	4lux.cif	2013-07-25
Nos1	P29476	1429.0	815-870	757-949	4ugz	A	F-P29476-F1-model_v3.cif	4ugz.cif	2015-03-23
Nos1	P29476	1429.0	815-870	757-949	4uh0	A	F-P29476-F1-model_v3.cif	4uh0.cif	2015-03-23
Nos1	P29476	1429.0	815-870	757-949	4uh1	A	F-P29476-F1-model_v3.cif	4uh1.cif	2015-03-23
Nos1	P29476	1429.0	815-870	757-949	4uh2	A	F-P29476-F1-model_v3.cif	4uh2.cif	2015-03-23
Nos1	P29476	1429.0	815-870	757-949	4uh3	A	F-P29476-F1-model_v3.cif	4uh3.cif	2015-03-23
Nos1	P29476	1429.0	815-870	757-949	4uh4	A	F-P29476-F1-model_v3.cif	4uh4.cif	2015-03-23
Nos1	P29476	1429.0	815-870	757-949	4upm	A	F-P29476-F1-model_v3.cif	4upm.cif	2014-06-17
Nos1	P29476	1429.0	815-870	757-949	4upn	A	F-P29476-F1-model_v3.cif	4upn.cif	2014-06-17
Nos1	P29476	1429.0	815-870	757-949	4upo	A	F-P29476-F1-model_v3.cif	4upo.cif	2014-06-17
Nos1	P29476	1429.0	815-870	757-949	4upp	A	F-P29476-F1-model_v3.cif	4upp.cif	2014-06-17
Nos1	P29476	1429.0	815-870	757-949	4v3v	A	F-P29476-F1-model_v3.cif	4v3v.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4v3w	A	F-P29476-F1-model_v3.cif	4v3w.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4v3x	A	F-P29476-F1-model_v3.cif	4v3x.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4v3y	A	F-P29476-F1-model_v3.cif	4v3y.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	4v3z	A	F-P29476-F1-model_v3.cif	4v3z.cif	2014-10-20
Nos1	P29476	1429.0	815-870	757-949	5ad4	A	F-P29476-F1-model_v3.cif	5ad4.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5ad5	A	F-P29476-F1-model_v3.cif	5ad5.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5ad6	A	F-P29476-F1-model_v3.cif	5ad6.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5ad7	A	F-P29476-F1-model_v3.cif	5ad7.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5ad8	A	F-P29476-F1-model_v3.cif	5ad8.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5ad9	A	F-P29476-F1-model_v3.cif	5ad9.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5ada	A	F-P29476-F1-model_v3.cif	5ada.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5adb	A	F-P29476-F1-model_v3.cif	5adb.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5adc	A	F-P29476-F1-model_v3.cif	5adc.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5add	A	F-P29476-F1-model_v3.cif	5add.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5ade	A	F-P29476-F1-model_v3.cif	5ade.cif	2015-08-20
Nos1	P29476	1429.0	815-870	757-949	5agk	A	F-P29476-F1-model_v3.cif	5agk.cif	2015-02-02
Nos1	P29476	1429.0	815-870	757-949	5agl	A	F-P29476-F1-model_v3.cif	5agl.cif	2015-02-02
Nos1	P29476	1429.0	815-870	757-949	5agm	A	F-P29476-F1-model_v3.cif	5agm.cif	2015-02-02
Nos1	P29476	1429.0	815-870	757-949	5agn	A	F-P29476-F1-model_v3.cif	5agn.cif	2015-02-02
Nos1	P29476	1429.0	815-870	757-949	5ago	A	F-P29476-F1-model_v3.cif	5ago.cif	2015-02-02
Nos1	P29476	1429.0	815-870	757-949	5agp	A	F-P29476-F1-model_v3.cif	5agp.cif	2015-02-02
Nos1	P29476	1429.0	815-870	757-949	5fvo	A	F-P29476-F1-model_v3.cif	5fvo.cif	2016-02-10
Nos1	P29476	1429.0	815-870	757-949	5fvp	A	F-P29476-F1-model_v3.cif	5fvp.cif	2016-02-10
Nos1	P29476	1429.0	815-870	757-949	5fvq	A	F-P29476-F1-model_v3.cif	5fvq.cif	2016-02-10
Nos1	P29476	1429.0	815-870	757-949	5fvr	A	F-P29476-F1-model_v3.cif	5fvr.cif	2016-02-10
Nos1	P29476	1429.0	815-870	757-949	5fvs	A	F-P29476-F1-model_v3.cif	5fvs.cif	2016-02-10
Nos1	P29476	1429.0	815-870	757-949	5fvt	A	F-P29476-F1-model_v3.cif	5fvt.cif	2016-02-10
Nos1	P29476	1429.0	815-870	757-949	5fw0	A	F-P29476-F1-model_v3.cif	5fw0.cif	2016-02-10
Nos1	P29476	1429.0	815-870	757-949	5g0n	A	F-P29476-F1-model_v3.cif	5g0n.cif	2016-03-21
Nos1	P29476	1429.0	815-870	757-949	5g0o	A	F-P29476-F1-model_v3.cif	5g0o.cif	2016-03-21
